feature,importance
thal_3.0,0.08615859501139372
thalach,0.0752665510437669
heart_rate_gap,0.07387339374816719
ca_0.0,0.0707181504796884
thal_7.0,0.06412087801207046
cp_4.0,0.0625575474092695
oldpeak,0.06201270505400638
chol,0.05195885265210335
trestbps,0.04903368663397459
age,0.04883987505971728
